Distances from center of each square to grid center (50.0, 30.0):
Distance at (11, 39): 40.4042
Distance at (11, 40): 40.6263
Distance at (11, 41): 40.8718
Distance at (11, 42): 41.1400
Distance at (11, 43): 41.4307
Distance at (11, 44): 41.7433
Distance at (11, 45): 42.0773
Distance at (11, 46): 42.4323
Distance at (11, 47): 42.8077
Distance at (11, 48): 43.2030
Distance at (11, 49): 43.6177
Distance at (11, 50): 44.0511
Distance at (11, 51): 44.5028
Distance at (11, 52): 44.9722
Distance at (11, 53): 45.4588
Distance at (11, 54): 45.9619
Distance at (11, 55): 46.4812
Distance at (11, 56): 47.0160
Distance at (11, 57): 47.5657
Distance at (11, 58): 48.1300
Distance at (11, 59): 48.7083
Distance at (11, 60): 49.3001
Distance at (12, 1): 48.5026
Distance at (12, 2): 47.9009
Distance at (12, 3): 47.3128
Distance at (12, 4): 46.7386
Distance at (12, 5): 46.1790
Distance at (12, 6): 45.6344
Distance at (12, 7): 45.1054
Distance at (12, 8): 44.5926
Distance at (12, 9): 44.0965
Distance at (12, 10): 43.6177
Distance at (12, 11): 43.1567
Distance at (12, 12): 42.7142
Distance at (12, 13): 42.2907
Distance at (12, 14): 41.8868
Distance at (12, 15): 41.5030
Distance at (12, 16): 41.1400
Distance at (12, 17): 40.7983
Distance at (12, 18): 40.4784
Distance at (12, 19): 40.1808
Distance at (12, 20): 39.9061
Distance at (12, 21): 39.6548
Distance at (12, 22): 39.4271
Distance at (12, 23): 39.2237
Distance at (12, 24): 39.0448
Distance at (12, 25): 38.8909
Distance at (12, 26): 38.7621
Distance at (12, 27): 38.6588
Distance at (12, 28): 38.5811
Distance at (12, 29): 38.5292
Distance at (12, 30): 38.5032
Distance at (12, 31): 38.5032
Distance at (12, 32): 38.5292
Distance at (12, 33): 38.5811
Distance at (12, 34): 38.6588
Distance at (12, 35): 38.7621
Distance at (12, 36): 38.8909
Distance at (12, 37): 39.0448
Distance at (12, 38): 39.2237
Distance at (12, 39): 39.4271
Distance at (12, 40): 39.6548
Distance at (12, 41): 39.9061
Distance at (12, 42): 40.1808
Distance at (12, 43): 40.4784
Distance at (12, 44): 40.7983
Distance at (12, 45): 41.1400
Distance at (12, 46): 41.5030
Distance at (12, 47): 41.8868
Distance at (12, 48): 42.2907
Distance at (12, 49): 42.7142
Distance at (12, 50): 43.1567
Distance at (12, 51): 43.6177
Distance at (12, 52): 44.0965
Distance at (12, 53): 44.5926
Distance at (12, 54): 45.1054
Distance at (12, 55): 45.6344
Distance at (12, 56): 46.1790
Distance at (12, 57): 46.7386
Distance at (12, 58): 47.3128
Distance at (12, 59): 47.9009
Distance at (12, 60): 48.5026
Distance at (13, 1): 47.7127
Distance at (13, 2): 47.1010
Distance at (13, 3): 46.5027
Distance at (13, 4): 45.9184
Distance at (13, 5): 45.3486
Distance at (13, 6): 44.7940
Distance at (13, 7): 44.2549
Distance at (13, 8): 43.7321
Distance at (13, 9): 43.2261
Distance at (13, 10): 42.7376
Distance at (13, 11): 42.2670
Distance at (13, 12): 41.8151
Distance at (13, 13): 41.3824
Distance at (13, 14): 40.9695
Distance at (13, 15): 40.5771
Distance at (13, 16): 40.2057
Distance at (13, 17): 39.8560
Distance at (13, 18): 39.5285
Distance at (13, 19): 39.2237
Distance at (13, 20): 38.9423
Distance at (13, 21): 38.6846
Distance at (13, 22): 38.4513
Distance at (13, 23): 38.2426
Distance at (13, 24): 38.0592
Distance at (13, 25): 37.9012
Distance at (13, 26): 37.7690
Distance at (13, 27): 37.6630
Distance at (13, 28): 37.5832
Distance at (13, 29): 37.5300
Distance at (13, 30): 37.5033
Distance at (13, 31): 37.5033
Distance at (13, 32): 37.5300
Distance at (13, 33): 37.5832
Distance at (13, 34): 37.6630
Distance at (13, 35): 37.7690
Distance at (13, 36): 37.9012
Distance at (13, 37): 38.0592
Distance at (13, 38): 38.2426
Distance at (13, 39): 38.4513
Distance at (13, 40): 38.6846
Distance at (13, 41): 38.9423
Distance at (13, 42): 39.2237
Distance at (13, 43): 39.5285
Distance at (13, 44): 39.8560
Distance at (13, 45): 40.2057
Distance at (13, 46): 40.5771
Distance at (13, 47): 40.9695
Distance at (13, 48): 41.3824
Distance at (13, 49): 41.8151
Distance at (13, 50): 42.2670
Distance at (13, 51): 42.7376
Distance at (13, 52): 43.2261
Distance at (13, 53): 43.7321
Distance at (13, 54): 44.2549
Distance at (13, 55): 44.7940
Distance at (13, 56): 45.3486
Distance at (13, 57): 45.9184
Distance at (13, 58): 46.5027
Distance at (13, 59): 47.1010
Distance at (13, 60): 47.7127
Distance at (14, 1): 46.9308
Distance at (14, 2): 46.3087
Distance at (14, 3): 45.7001
Distance at (14, 4): 45.1054
Distance at (14, 5): 44.5253
Distance at (14, 6): 43.9602
Distance at (14, 7): 43.4108
Distance at (14, 8): 42.8777
Distance at (14, 9): 42.3615
Distance at (14, 10): 41.8629
Distance at (14, 11): 41.3824
Distance at (14, 12): 40.9207
Distance at (14, 13): 40.4784
Distance at (14, 14): 40.0562
Distance at (14, 15): 39.6548
Distance at (14, 16): 39.2747
Distance at (14, 17): 38.9166
Distance at (14, 18): 38.5811
Distance at (14, 19): 38.2688
Distance at (14, 20): 37.9803
Distance at (14, 21): 37.7160
Distance at (14, 22): 37.4767
Distance at (14, 23): 37.2626
Distance at (14, 24): 37.0742
Distance at (14, 25): 36.9121
Distance at (14, 26): 36.7764
Distance at (14, 27): 36.6674
Distance at (14, 28): 36.5855
Distance at (14, 29): 36.5308
Distance at (14, 30): 36.5034
Distance at (14, 31): 36.5034
Distance at (14, 32): 36.5308
Distance at (14, 33): 36.5855
Distance at (14, 34): 36.6674
Distance at (14, 35): 36.7764
Distance at (14, 36): 36.9121
Distance at (14, 37): 37.0742
Distance at (14, 38): 37.2626
Distance at (14, 39): 37.4767
Distance at (14, 40): 37.7160
Distance at (14, 41): 37.9803
Distance at (14, 42): 38.2688
Distance at (14, 43): 38.5811
Distance at (14, 44): 38.9166
Distance at (14, 45): 39.2747
Distance at (14, 46): 39.6548
Distance at (14, 47): 40.0562
Distance at (14, 48): 40.4784
Distance at (14, 49): 40.9207
Distance at (14, 50): 41.3824
Distance at (14, 51): 41.8629
Distance at (14, 52): 42.3615
Distance at (14, 53): 42.8777
Distance at (14, 54): 43.4108
Distance at (14, 55): 43.9602
Distance at (14, 56): 44.5253
Distance at (14, 57): 45.1054
Distance at (14, 58): 45.7001
Distance at (14, 59): 46.3087
Distance at (14, 60): 46.9308
Distance at (15, 1): 46.1573
Distance at (15, 2): 45.5247
Distance at (15, 3): 44.9055
Distance at (15, 4): 44.3001
Distance at (15, 5): 43.7093
Distance at (15, 6): 43.1335
Distance at (15, 7): 42.5735
Distance at (15, 8): 42.0298
Distance at (15, 9): 41.5030
Distance at (15, 10): 40.9939
Distance at (15, 11): 40.5031
Distance at (15, 12): 40.0312
Distance at (15, 13): 39.5790
Distance at (15, 14): 39.1472
Distance at (15, 15): 38.7363
Distance at (15, 16): 38.3471
Distance at (15, 17): 37.9803
Distance at (15, 18): 37.6364
Distance at (15, 19): 37.3162
Distance at (15, 20): 37.0203
Distance at (15, 21): 36.7491
Distance at (15, 22): 36.5034
Distance at (15, 23): 36.2836
Distance at (15, 24): 36.0902
Distance at (15, 25): 35.9235
Distance at (15, 26): 35.7841
Distance at (15, 27): 35.6721
